as_of_date,file_path,route_path,cohort,page_kind,doc_type_primary,accuracy_2026_status,accuracy_2026_confidence,accuracy_2026_score,clarity_score,verifiability_score,docs_framework_fit_score,rfp_page_compliance_score,completeness_score,actionability_score,audience_fit_score,machine_readability_score,maintenance_quality_score,human_usefulness_score,agent_usefulness_score,human_band,agent_band,claims_extracted_count,verification_sources_count,source_types_used,source_freshness_oldest_date,source_freshness_latest_date,flags_human,verification_notes
2026-02-23,v2/community/_move_me/livepeer-hubs/livepeer-builder-hub.mdx,/v2/community/_move_me/livepeer-hubs/livepeer-builder-hub,public,content_explanation,explanation,provisional,0.15,1.9,1.5,0.8,2.4,1.5,0.2,0.5,3.5,1.6,1,28,29,incomplete_risky,incomplete_risky,0,0,,,,accuracy needs review; missing frontmatter; thin content,No extractable claims found; provisional status as of 2026-02-23.
2026-02-23,v2/community/_move_me/livepeer-hubs/livepeer-partner-hub.mdx,/v2/community/_move_me/livepeer-hubs/livepeer-partner-hub,public,content_explanation,explanation,provisional,0.15,1.9,2.2,0.8,2.9,1.7,0.2,0.5,3.5,2,1,32,33,incomplete_risky,incomplete_risky,0,0,,,,accuracy needs review; missing frontmatter; thin content,No extractable claims found; provisional status as of 2026-02-23.
2026-02-23,v2/community/_move_me/livepeer-partners/livepeer-builder-hub.mdx,/v2/community/_move_me/livepeer-partners/livepeer-builder-hub,public,content_explanation,explanation,provisional,0.15,1.9,1.5,0.8,2.4,1.5,0.2,0.5,3.5,1.6,1,28,29,incomplete_risky,incomplete_risky,0,0,,,,accuracy needs review; missing frontmatter; thin content,No extractable claims found; provisional status as of 2026-02-23.
2026-02-23,v2/community/_move_me/livepeer-partners/livepeer-partner-hub.mdx,/v2/community/_move_me/livepeer-partners/livepeer-partner-hub,public,content_explanation,explanation,provisional,0.15,1.9,2.2,0.8,2.9,1.7,0.2,0.5,3.5,2,1,32,33,incomplete_risky,incomplete_risky,0,0,,,,accuracy needs review; missing frontmatter; thin content,No extractable claims found; provisional status as of 2026-02-23.
2026-02-23,v2/community/community-portal.mdx,/v2/community/community-portal,public,content_explanation,explanation,stale_risk,0.15,1,3,0.2,3,2.9,3.8,0.5,3.5,3.6,2,45,43,incomplete_risky,incomplete_risky,9,0,,,,accuracy needs review; verification required,Verified 0/9 extracted claim(s) as of 2026-02-23.
2026-02-23,v2/community/faq.mdx,/v2/community/faq,public,content_explanation,explanation,stale_risk,0.15,1,3.5,1.4,3,3.4,5,1.2,3.5,4,2,55,52,usable_needs_work,usable_needs_work,12,0,,,,accuracy needs review; verification required,Verified 0/12 extracted claim(s) as of 2026-02-23.
2026-02-23,v2/community/index.mdx,/v2/community,public,landing,landing,stale_risk,0.15,1,3.5,0.2,2.9,2.8,1.6,1.2,3.5,4.4,2,42,43,incomplete_risky,incomplete_risky,4,0,,,,accuracy needs review; thin content; verification required,Verified 0/4 extracted claim(s) as of 2026-02-23.
2026-02-23,v2/community/livepeer-community/community-guidelines.mdx,/v2/community/livepeer-community/community-guidelines,public,how_to,how_to,stale_risk,0.15,1,4.2,1.4,2.3,3.7,5,1.2,3.5,4.4,2,57,54,usable_needs_work,usable_needs_work,12,0,,,,accuracy needs review; verification required,Verified 0/12 extracted claim(s) as of 2026-02-23.
2026-02-23,v2/community/livepeer-community/governance-and-foundation.mdx,/v2/community/livepeer-community/governance-and-foundation,public,how_to,how_to,stale_risk,0.15,1,4.2,1.4,3.7,3.9,5,2.2,3.5,4.4,2,63,59,usable_needs_work,usable_needs_work,12,0,,,,accuracy needs review; verification required,Verified 0/12 extracted claim(s) as of 2026-02-23.
2026-02-23,v2/community/livepeer-community/livepeer-latest-topics.mdx,/v2/community/livepeer-community/livepeer-latest-topics,public,content_explanation,explanation,stale_risk,0.15,1,4.2,1,3.5,3.5,4.4,1.2,3.5,4.4,2,57,54,usable_needs_work,usable_needs_work,11,0,,,,accuracy needs review; verification required,Verified 0/11 extracted claim(s) as of 2026-02-23.
2026-02-23,v2/community/livepeer-community/roadmap.mdx,/v2/community/livepeer-community/roadmap,public,content_explanation,explanation,provisional,0.15,1.9,3.5,0.4,2.9,2.7,1.2,0.8,3.5,4.4,2,43,46,incomplete_risky,incomplete_risky,2,0,,,,accuracy needs review; thin content; verification required,Verified 0/2 extracted claim(s) as of 2026-02-23.
2026-02-23,v2/community/livepeer-community/trending-topics.mdx,/v2/community/livepeer-community/trending-topics,public,content_explanation,explanation,stale_risk,0.15,1,3.5,1,2.9,2.8,1.6,1.2,3.5,4.4,2,44,46,incomplete_risky,incomplete_risky,1,0,,,,accuracy needs review; thin content; verification required,Verified 0/1 extracted claim(s) as of 2026-02-23.
2026-02-23,v2/community/livepeer-connect/events-and-community-streams.mdx,/v2/community/livepeer-connect/events-and-community-streams,public,content_explanation,explanation,provisional,0.15,1.9,2.7,0.8,2.9,2.3,0.6,0.5,3.5,4.4,2,38,43,incomplete_risky,incomplete_risky,0,0,,,,accuracy needs review; thin content,No extractable claims found; provisional status as of 2026-02-23.
2026-02-23,v2/community/livepeer-connect/forums-and-discussions.mdx,/v2/community/livepeer-connect/forums-and-discussions,public,content_explanation,explanation,stale_risk,0.15,1,4.2,1.4,3.5,4,5,2.7,3.5,4.4,2,64,59,usable_needs_work,usable_needs_work,11,0,,,,accuracy needs review; verification required,Verified 0/11 extracted claim(s) as of 2026-02-23.
2026-02-23,v2/community/livepeer-connect/news-and-socials.mdx,/v2/community/livepeer-connect/news-and-socials,public,content_explanation,explanation,provisional,0.15,1.9,1.5,0.8,2.4,1.8,0,0.5,3.5,3.6,2,30,35,incomplete_risky,incomplete_risky,0,0,,,,accuracy needs review; thin content,No extractable claims found; provisional status as of 2026-02-23.
2026-02-23,v2/community/livepeer-contribute/build-livepeer.mdx,/v2/community/livepeer-contribute/build-livepeer,public,content_explanation,explanation,provisional,0.15,1.9,1.5,0.8,2.4,1.8,0,0.5,3.5,3.6,2,30,35,incomplete_risky,incomplete_risky,0,0,,,,accuracy needs review; thin content,No extractable claims found; provisional status as of 2026-02-23.
2026-02-23,v2/community/livepeer-contribute/contribute.mdx,/v2/community/livepeer-contribute/contribute,public,content_explanation,explanation,provisional,0.15,1.9,1.5,0.8,2.4,1.8,0,0.5,3.5,3.6,2,30,35,incomplete_risky,incomplete_risky,0,0,,,,accuracy needs review; thin content,No extractable claims found; provisional status as of 2026-02-23.
2026-02-23,v2/community/livepeer-contribute/opportunities.mdx,/v2/community/livepeer-contribute/opportunities,public,content_explanation,explanation,provisional,0.15,1.9,2,0.8,2.4,2,0.2,0.5,3.5,4,2,33,38,incomplete_risky,incomplete_risky,0,0,,,,accuracy needs review; thin content,No extractable claims found; provisional status as of 2026-02-23.
2026-02-23,v2/community/resources/awesome-livepeer.mdx,/v2/community/resources/awesome-livepeer,public,content_explanation,explanation,stale_risk,0.15,1,4.2,1.4,3.5,3.7,5,1.2,3.5,4.4,2,59,57,usable_needs_work,usable_needs_work,12,0,,,,accuracy needs review; verification required,Verified 0/12 extracted claim(s) as of 2026-02-23.
2026-02-23,v2/community/resources/dashboards.mdx,/v2/community/resources/dashboards,public,content_explanation,explanation,stale_risk,0.15,1,2,0.2,2.4,2,0.2,0.5,3.5,4,2,29,33,incomplete_risky,incomplete_risky,3,0,,,,accuracy needs review; thin content; verification required,Verified 0/3 extracted claim(s) as of 2026-02-23.
2026-02-23,v2/community/resources/guides.mdx,/v2/community/resources/guides,public,how_to,how_to,stale_risk,0.15,1,4.2,0.2,2.3,3.4,4.4,0.5,3.5,4.4,2,51,48,usable_needs_work,incomplete_risky,9,0,,,,accuracy needs review; verification required,Verified 0/9 extracted claim(s) as of 2026-02-23.
